occupation,degree,sex,estimate count,count moe,median
Accountants and auditors,less_bachelor,men,26540.0,2735.0,55560.0
Accountants and auditors,less_bachelor,women,107500.0,6275.0,54930.0
Accountants and auditors,bachelor,men,328300.0,8975.0,91190.0
Accountants and auditors,bachelor,women,459400.0,11620.0,75800.0
Accountants and auditors,bachelor_plus,men,510900.0,12340.0,96360.0
Accountants and auditors,bachelor_plus,women,678500.0,14430.0,80200.0
Accountants and auditors,graduate,men,182600.0,6720.0,104100.0
Accountants and auditors,graduate,women,219100.0,8940.0,89660.0
Actuaries,bachelor,men,17780.0,2260.0,130800.0
Actuaries,bachelor,women,7165.0,1330.0,131000.0
Actuaries,bachelor_plus,men,24070.0,2610.0,137500.0
Actuaries,bachelor_plus,women,10630.0,1580.0,132100.0
Administrative services managers,less_bachelor,women,19900.0,2700.0,61410.0
Administrative services managers,bachelor,women,12000.0,1830.0,72080.0
Administrative services managers,bachelor_plus,men,8215.0,1495.0,92000.0
Administrative services managers,bachelor_plus,women,17550.0,2215.0,72980.0
Advertising and promotions managers,bachelor,men,13420.0,2015.0,124000.0
Advertising and promotions managers,bachelor,women,18230.0,2530.0,86060.0
Advertising and promotions managers,bachelor_plus,men,17420.0,2480.0,126300.0
Advertising and promotions managers,bachelor_plus,women,21620.0,2840.0,87310.0
Advertising sales agents,less_bachelor,men,13660.0,2045.0,70330.0
Advertising sales agents,less_bachelor,women,10680.0,1740.0,52310.0
Advertising sales agents,bachelor,men,23340.0,2775.0,95250.0
Advertising sales agents,bachelor,women,23610.0,2885.0,95770.0
Advertising sales agents,bachelor_plus,men,28500.0,3340.0,94850.0
Advertising sales agents,bachelor_plus,women,27410.0,3135.0,92980.0
Aerospace engineers,less_bachelor,men,10990.0,1815.0,92730.0
Aerospace engineers,bachelor,men,62520.0,4470.0,116200.0
Aerospace engineers,bachelor,women,8670.0,1740.0,101600.0
Aerospace engineers,bachelor_plus,men,108600.0,5790.0,125200.0
Aerospace engineers,bachelor_plus,women,16850.0,2430.0,114800.0
Aerospace engineers,graduate,men,46110.0,3630.0,137700.0
Aerospace engineers,graduate,women,8175.0,1730.0,129600.0
"Agents and business managers of artists, performers, and athletes",bachelor,men,10640.0,2245.0,100600.0
"Agents and business managers of artists, performers, and athletes",bachelor,women,8425.0,1840.0,84040.0
"Agents and business managers of artists, performers, and athletes",bachelor_plus,men,13270.0,2360.0,103000.0
"Agents and business managers of artists, performers, and athletes",bachelor_plus,women,12450.0,2210.0,87270.0
Agricultural and food science technicians,less_bachelor,men,17050.0,2270.0,57280.0
Agricultural and food science technicians,less_bachelor,women,7085.0,1335.0,47900.0
Agricultural and food scientists,bachelor,men,11940.0,1815.0,80250.0
Agricultural and food scientists,bachelor_plus,men,19540.0,2280.0,91450.0
Agricultural and food scientists,bachelor_plus,women,9510.0,1730.0,75560.0
Agricultural and food scientists,graduate,men,7600.0,1525.0,102800.0
Air traffic controllers and airfield operations specialists,less_bachelor,men,13120.0,2120.0,106300.0
Air traffic controllers and airfield operations specialists,bachelor,men,7385.0,1305.0,140000.0
Air traffic controllers and airfield operations specialists,bachelor_plus,men,8565.0,1375.0,152200.0
Aircraft mechanics and service technicians,less_bachelor,men,100800.0,5785.0,73680.0
Aircraft mechanics and service technicians,bachelor,men,9875.0,1710.0,86450.0
Aircraft mechanics and service technicians,bachelor_plus,men,12640.0,2050.0,86940.0
Aircraft pilots and flight engineers,less_bachelor,men,22910.0,3010.0,105800.0
Aircraft pilots and flight engineers,bachelor,men,55880.0,3890.0,155900.0
Aircraft pilots and flight engineers,bachelor_plus,men,72160.0,4340.0,160400.0
Aircraft pilots and flight engineers,graduate,men,16290.0,2300.0,182900.0
Animal caretakers,less_bachelor,men,27150.0,3105.0,35910.0
Animal caretakers,less_bachelor,women,63660.0,4835.0,32460.0
Animal caretakers,bachelor,women,18980.0,2340.0,36090.0
Animal caretakers,bachelor_plus,men,8245.0,1655.0,44970.0
Animal caretakers,bachelor_plus,women,21900.0,2390.0,37130.0
Animal trainers,less_bachelor,men,9980.0,2135.0,38890.0
Animal trainers,less_bachelor,women,8855.0,1610.0,33760.0
Animal trainers,bachelor_plus,women,8200.0,1630.0,35670.0
"Architects, except landscape and naval",less_bachelor,men,13110.0,1840.0,106200.0
"Architects, except landscape and naval",bachelor,men,61750.0,3740.0,110200.0
"Architects, except landscape and naval",bachelor,women,22630.0,2675.0,92850.0
"Architects, except landscape and naval",bachelor_plus,men,120700.0,5180.0,110800.0
"Architects, except landscape and naval",bachelor_plus,women,45660.0,3865.0,88060.0
"Architects, except landscape and naval",graduate,men,58990.0,3555.0,111900.0
"Architects, except landscape and naval",graduate,women,23040.0,2830.0,84560.0
Architectural and civil drafters,less_bachelor,men,24660.0,2880.0,67590.0
Architectural and civil drafters,bachelor,men,6775.0,1360.0,66710.0
Architectural and civil drafters,bachelor_plus,men,8110.0,1505.0,66770.0
Architectural and engineering managers,less_bachelor,men,34160.0,3195.0,117800.0
Architectural and engineering managers,bachelor,men,84320.0,5035.0,159100.0
Architectural and engineering managers,bachelor,women,10810.0,1595.0,148800.0
Architectural and engineering managers,bachelor_plus,men,148600.0,6485.0,166600.0
Architectural and engineering managers,bachelor_plus,women,22870.0,2355.0,153400.0
Architectural and engineering managers,graduate,men,64260.0,4135.0,186000.0
Architectural and engineering managers,graduate,women,12050.0,1885.0,162000.0
"Archivists, curators, and museum technicians",bachelor,men,9940.0,1590.0,64010.0
"Archivists, curators, and museum technicians",bachelor,women,10600.0,1525.0,60560.0
"Archivists, curators, and museum technicians",bachelor_plus,men,17810.0,2335.0,69520.0
"Archivists, curators, and museum technicians",bachelor_plus,women,26440.0,2865.0,61990.0
"Archivists, curators, and museum technicians",graduate,men,7870.0,1630.0,79120.0
"Archivists, curators, and museum technicians",graduate,women,15830.0,2315.0,64280.0
Artists and related workers,less_bachelor,men,46810.0,4460.0,49120.0
Artists and related workers,less_bachelor,women,22170.0,3385.0,30800.0
Artists and related workers,bachelor,men,37720.0,3195.0,74770.0
Artists and related workers,bachelor,women,32070.0,3080.0,57550.0
Artists and related workers,bachelor_plus,men,48770.0,3840.0,75760.0
Artists and related workers,bachelor_plus,women,42990.0,3455.0,54160.0
Artists and related workers,graduate,men,11050.0,1835.0,80520.0
Artists and related workers,graduate,women,10920.0,2025.0,40620.0
Astronomers and physicists,bachelor_plus,men,11410.0,1615.0,114300.0
Astronomers and physicists,graduate,men,9310.0,1385.0,131200.0
Athletes and sports competitors,bachelor,men,7665.0,1595.0,69560.0
Athletes and sports competitors,bachelor_plus,men,8775.0,1725.0,63410.0
Atmospheric and space scientists,bachelor_plus,men,8965.0,1665.0,96240.0
Audiologists,bachelor_plus,women,12640.0,1645.0,87070.0
Audiologists,graduate,women,11140.0,1600.0,87400.0
Audiovisual equipment installers and repairers,less_bachelor,men,26750.0,3975.0,51580.0
Automotive body and related repairers,less_bachelor,men,86030.0,5050.0,54340.0
Automotive glass installers and repairers,less_bachelor,men,,,45470.0
Automotive service technicians and mechanics,less_bachelor,men,564600.0,15220.0,50530.0
Automotive service technicians and mechanics,bachelor,men,22610.0,3065.0,52410.0
Automotive service technicians and mechanics,bachelor_plus,men,27770.0,3175.0,51780.0
Avionics technicians,less_bachelor,men,12760.0,1880.0,76960.0
"Baggage porters, bellhops, and concierges",less_bachelor,men,33330.0,3540.0,41840.0
"Baggage porters, bellhops, and concierges",less_bachelor,women,9685.0,2025.0,35010.0
Bailiffs,less_bachelor,men,9720.0,2275.0,60930.0
Bakers,less_bachelor,men,43810.0,4890.0,35900.0
Bakers,less_bachelor,women,51250.0,4635.0,31690.0
Bakers,bachelor,women,7740.0,1640.0,36630.0
Bakers,bachelor_plus,women,9965.0,1860.0,36510.0
Barbers,less_bachelor,men,53900.0,5590.0,32440.0
Barbers,less_bachelor,women,12410.0,2135.0,27280.0
Bartenders,less_bachelor,men,63520.0,5325.0,40690.0
Bartenders,less_bachelor,women,68090.0,4990.0,35180.0
Bartenders,bachelor,men,20510.0,2915.0,46120.0
Bartenders,bachelor,women,13800.0,2320.0,40970.0
Bartenders,bachelor_plus,men,22740.0,3220.0,45620.0
Bartenders,bachelor_plus,women,16170.0,2710.0,41480.0
Bill and account collectors,less_bachelor,men,18470.0,2785.0,44240.0
Bill and account collectors,less_bachelor,women,54470.0,4510.0,42390.0
Bill and account collectors,bachelor,women,11420.0,2005.0,48090.0
Bill and account collectors,bachelor_plus,women,12940.0,2115.0,48870.0
Billing and posting clerks,less_bachelor,men,25620.0,3100.0,45590.0
Billing and posting clerks,less_bachelor,women,239000.0,9095.0,41010.0
Billing and posting clerks,bachelor,men,14790.0,2030.0,56250.0
Billing and posting clerks,bachelor,women,43410.0,3530.0,46200.0
Billing and posting clerks,bachelor_plus,men,19760.0,2615.0,59660.0
Billing and posting clerks,bachelor_plus,women,54340.0,3785.0,46450.0
Billing and posting clerks,graduate,women,10940.0,2035.0,48870.0
Bioengineers and biomedical engineers,bachelor_plus,men,8635.0,1620.0,96140.0
Biological scientists,bachelor,men,20130.0,2405.0,71310.0
Biological scientists,bachelor,women,17600.0,2075.0,65190.0
Biological scientists,bachelor_plus,men,42090.0,3270.0,79000.0
Biological scientists,bachelor_plus,women,34850.0,2685.0,73660.0
Biological scientists,graduate,men,21960.0,2300.0,85260.0
Biological scientists,graduate,women,17250.0,2020.0,82250.0
Boilermakers,less_bachelor,men,,,84900.0
"Bookkeeping, accounting, and auditing clerks",less_bachelor,men,68600.0,5600.0,52050.0
"Bookkeeping, accounting, and auditing clerks",less_bachelor,women,537600.0,13960.0,46490.0
"Bookkeeping, accounting, and auditing clerks",bachelor,men,22840.0,2930.0,53010.0
"Bookkeeping, accounting, and auditing clerks",bachelor,women,84250.0,4725.0,48670.0
"Bookkeeping, accounting, and auditing clerks",bachelor_plus,men,27640.0,3210.0,54050.0
"Bookkeeping, accounting, and auditing clerks",bachelor_plus,women,101900.0,5235.0,48390.0
"Bookkeeping, accounting, and auditing clerks",graduate,women,17680.0,2550.0,47490.0
"Brickmasons, blockmasons, and stonemasons",less_bachelor,men,73890.0,5960.0,47570.0
"Broadcast, sound, and lighting technicians",less_bachelor,men,32730.0,3130.0,60000.0
"Broadcast, sound, and lighting technicians",bachelor,men,22520.0,2660.0,72100.0
"Broadcast, sound, and lighting technicians",bachelor_plus,men,26190.0,2875.0,72390.0
Budget analysts,less_bachelor,women,7705.0,1545.0,69430.0
Budget analysts,bachelor,men,8365.0,1695.0,93250.0
Budget analysts,bachelor,women,11990.0,2050.0,85420.0
Budget analysts,bachelor_plus,men,13360.0,1930.0,97430.0
Budget analysts,bachelor_plus,women,20310.0,2275.0,87270.0
Budget analysts,graduate,women,8320.0,1500.0,90240.0
Bus and truck mechanics and diesel engine specialists,less_bachelor,men,221800.0,8490.0,58970.0
Bus and truck mechanics and diesel engine specialists,bachelor,men,,,67050.0
Bus and truck mechanics and diesel engine specialists,bachelor_plus,men,,,65790.0
"Bus drivers, school",less_bachelor,men,36700.0,4075.0,39390.0
"Bus drivers, school",less_bachelor,women,46970.0,3985.0,32340.0
"Bus drivers, transit and intercity",less_bachelor,men,85560.0,5370.0,54360.0
"Bus drivers, transit and intercity",less_bachelor,women,38090.0,3335.0,40550.0
"Bus drivers, transit and intercity",bachelor_plus,men,8975.0,1660.0,54470.0
"Business operations specialists, all other",less_bachelor,men,51710.0,4595.0,66370.0
"Business operations specialists, all other",less_bachelor,women,83790.0,5135.0,51740.0
"Business operations specialists, all other",bachelor,men,67730.0,4760.0,88740.0
"Business operations specialists, all other",bachelor,women,78980.0,5055.0,71080.0
"Business operations specialists, all other",bachelor_plus,men,108100.0,6330.0,100300.0
"Business operations specialists, all other",bachelor_plus,women,122700.0,6430.0,76870.0
"Business operations specialists, all other",graduate,men,40410.0,3445.0,121300.0
"Business operations specialists, all other",graduate,women,43710.0,3520.0,89740.0
"Butchers and other meat, poultry, and fish processing workers",less_bachelor,men,126300.0,6470.0,41600.0
"Butchers and other meat, poultry, and fish processing workers",less_bachelor,women,35370.0,3880.0,34600.0
Cabinetmakers and bench carpenters,less_bachelor,men,31170.0,3290.0,44670.0
Cardiovascular technologists and technicians,less_bachelor,women,14620.0,2205.0,48680.0
Cardiovascular technologists and technicians,bachelor_plus,men,8425.0,1560.0,172100.0
Carpenters,less_bachelor,men,698500.0,16890.0,48380.0
Carpenters,less_bachelor,women,11420.0,2110.0,36470.0
Carpenters,bachelor,men,47080.0,3885.0,50940.0
Carpenters,bachelor_plus,men,55960.0,4010.0,51430.0
Carpenters,graduate,men,8880.0,2090.0,54090.0
"Carpet, floor, and tile installers and finishers",less_bachelor,men,76610.0,6600.0,42980.0
Cashiers,less_bachelor,men,169100.0,7205.0,31940.0
Cashiers,less_bachelor,women,408700.0,12550.0,27830.0
Cashiers,bachelor,men,32060.0,3390.0,36970.0
Cashiers,bachelor,women,36370.0,3795.0,31720.0
Cashiers,bachelor_plus,men,38430.0,3660.0,36810.0
Cashiers,bachelor_plus,women,45090.0,4525.0,31430.0
Cashiers,graduate,women,8720.0,1875.0,29410.0
"Cement masons, concrete finishers, and terrazzo workers",less_bachelor,men,30740.0,2980.0,53030.0
