occupation,degree,race,race_count_est,race_count_moe,race_pct_moe,denom,race_pct_est
accountants and auditors,bachelor,asian,95240.0,5350.0,,758210.0,12.561163793671938
accountants and auditors,bachelor,black,64430.0,5755.0,,758210.0,8.497645770960553
accountants and auditors,bachelor,hispanic,84540.0,5825.0,,758210.0,11.149945265823453
accountants and auditors,bachelor,white,514000.0,10240.0,,758210.0,67.79124516954406
accountants and auditors,bachelor_plus,asian,157900.0,7265.0,,1144100.0,13.801241150249105
accountants and auditors,bachelor_plus,black,110500.0,7360.0,,1144100.0,9.658246656760774
accountants and auditors,bachelor_plus,hispanic,114700.0,7415.0,,1144100.0,10.025347434664802
accountants and auditors,bachelor_plus,white,761000.0,12260.0,,1144100.0,66.51516475832531
accountants and auditors,graduate,asian,62700.0,4020.0,,385880.0,16.248574686431013
accountants and auditors,graduate,black,46040.0,5390.0,,385880.0,11.931170312014098
accountants and auditors,graduate,hispanic,30140.0,3265.0,,385880.0,7.810718358038768
accountants and auditors,graduate,white,247000.0,7260.0,,385880.0,64.00953664351611
accountants and auditors,less_bachelor,asian,7340.0,1775.0,,125110.0,5.866837183278715
accountants and auditors,less_bachelor,black,15890.0,2950.0,,125110.0,12.700823275517545
accountants and auditors,less_bachelor,hispanic,21350.0,2515.0,,125110.0,17.064982815122693
accountants and auditors,less_bachelor,white,80530.0,5170.0,,125110.0,64.36735672608106
actors,bachelor,asian,185.0,160.0,,6865.0,2.69482884195193
actors,bachelor,black,1730.0,940.0,,6865.0,25.20029133284778
actors,bachelor,hispanic,1100.0,690.0,,6865.0,16.023306627822286
actors,bachelor,white,3850.0,1385.0,,6865.0,56.081573197378006
actors,bachelor_plus,asian,225.0,170.0,,8400.0,2.6785714285714284
actors,bachelor_plus,black,1885.0,885.0,,8400.0,22.44047619047619
actors,bachelor_plus,hispanic,1150.0,685.0,,8400.0,13.690476190476192
actors,bachelor_plus,white,5140.0,1520.0,,8400.0,61.1904761904762
actors,graduate,white,1295.0,590.0,,1295.0,100.0
actors,less_bachelor,black,870.0,705.0,,5040.0,17.261904761904763
actors,less_bachelor,hispanic,1230.0,890.0,,5040.0,24.404761904761905
actors,less_bachelor,white,2940.0,1195.0,,5040.0,58.333333333333336
actuaries,bachelor,asian,3190.0,785.0,,23545.0,13.548524102781906
actuaries,bachelor,black,780.0,905.0,,23545.0,3.312805266510937
actuaries,bachelor,hispanic,1185.0,685.0,,23545.0,5.032915693353154
actuaries,bachelor,white,18390.0,2350.0,,23545.0,78.10575493735399
actuaries,bachelor_plus,asian,5355.0,1105.0,,32890.0,16.28154454241411
actuaries,bachelor_plus,black,985.0,935.0,,32890.0,2.994831255700821
actuaries,bachelor_plus,hispanic,1640.0,940.0,,32890.0,4.986318029796291
actuaries,bachelor_plus,white,24910.0,2650.0,,32890.0,75.73730617208878
actuaries,graduate,asian,2165.0,725.0,,9345.0,23.167469234884965
actuaries,graduate,black,205.0,220.0,,9345.0,2.1936864633493847
