Entity,Code,Year,Share of firms with a female top manager
Afghanistan,AFG,2008,0.74766356
Afghanistan,AFG,2014,4.704539
Albania,ALB,2013,12.195687
Albania,ALB,2019,18.059038
Angola,AGO,2010,13.467268
Angola,AGO,2024,10.3685255
Antigua and Barbuda,ATG,2010,17.515608
Argentina,ARG,2010,9.234627
Argentina,ARG,2017,7.985743
Armenia,ARM,2009,13.486561
Armenia,ARM,2013,14.084208
Armenia,ARM,2020,19.11265
Armenia,ARM,2024,28.227425
Austria,AUT,2021,18.785925
Azerbaijan,AZE,2009,4.7164845
Azerbaijan,AZE,2013,2.5628166
Azerbaijan,AZE,2019,16.544003
Azerbaijan,AZE,2024,7.307301
Bahamas,BHS,2010,33.21515
Bahrain,BHR,2024,8.89164
Bangladesh,BGD,2007,1.2653407
Bangladesh,BGD,2013,4.8116946
Bangladesh,BGD,2022,3.5905502
Barbados,BRB,2010,25.401861
Barbados,BRB,2023,16.873463
Belarus,BLR,2008,24.842873
Belarus,BLR,2013,32.15776
Belarus,BLR,2018,21.12257
Belgium,BEL,2020,17.885414
Belgium,BEL,2024,12.821936
Belize,BLZ,2010,25.45909
Benin,BEN,2009,26.914585
Benin,BEN,2016,25.888067
Benin,BEN,2024,24.38993
Bhutan,BTN,2015,26.3079
Bhutan,BTN,2024,21.415318
Bolivia,BOL,2010,21.712584
Bolivia,BOL,2017,26.31461
Bosnia and Herzegovina,BIH,2009,13.501286
Bosnia and Herzegovina,BIH,2013,16.64473
Bosnia and Herzegovina,BIH,2019,16.560484
Bosnia and Herzegovina,BIH,2023,15.269022
Botswana,BWA,2010,16.453218
Botswana,BWA,2023,22.968035
Brazil,BRA,2009,19.371593
Bulgaria,BGR,2009,25.749617
Bulgaria,BGR,2013,23.516197
Bulgaria,BGR,2019,28.816936
Bulgaria,BGR,2023,23.50279
Burkina Faso,BFA,2009,11.316086
Burkina Faso,BFA,2024,13.464792
Burundi,BDI,2014,16.336569
Cambodia,KHM,2016,57.309
Cambodia,KHM,2023,33.654697
Cameroon,CMR,2009,10.035775
Cameroon,CMR,2016,22.880919
Cameroon,CMR,2024,21.179935
Canada,CAN,2024,21.893785
Cape Verde,CPV,2009,16.701122
Cape Verde,CPV,2024,26.674364
Central African Republic,CAF,2011,12.146539
Central African Republic,CAF,2023,10.216373
Chad,TCD,2009,6.8120937
Chad,TCD,2018,12.035116
Chad,TCD,2023,8.512759
Chile,CHL,2010,4.524699
China,CHN,2012,17.539125
China,CHN,2024,19.59797
Colombia,COL,2010,12.071988
Colombia,COL,2017,18.935612
Colombia,COL,2023,24.597746
Congo,COG,2009,17.171717
Congo,COG,2024,19.34633
Costa Rica,CRI,2010,15.401975
Costa Rica,CRI,2023,25.260702
Cote d'Ivoire,CIV,2016,14.295629
Cote d'Ivoire,CIV,2023,11.556436
Croatia,HRV,2013,20.14293
Croatia,HRV,2019,27.01952
Croatia,HRV,2023,26.175083
